,Total line count,Lines of code,statement count,Cyclomatic complexity,Average Cyclomatic complexity for methods,Average lines of code for methods,Average lines of code for methods with at least 3 lines,Cognitive Complexity,Coupling between objects,Dependencies in,Number of Children,Response for a class,Cohesion Among Methods of Classes,Lack of Cohesion in Methods 5,Method-Method through Attributes Cohesion,Normalized Hamming Distance,A Sensitive Metric of Class Cohesion,Tight Class Cohesion,Loose Class Cohesion,Third party classes used,Third party methods used
Individual Element Complexity,0.9268956469028401,0.9492319008714087,0.9271501398898301,0.9336910338052943,-0.6471035519846124,-0.937858544069981,-0.7580076991963012,0.029790614137867544,0.8878884095786497,0.9633169483978807,0.6735273375042485,0.9852487220564946,-0.26793856867741545,0.41691576692496296,-0.2705584292753868,0.6463832758142447,-0.35522083225825424,0.9797512647364383,0.9788602630515687,0.9497330437917718,0.9711985588802899
Size and Structural Class Complexity::NC,0.9556334245723287,0.9292528188657085,0.949775623224061,0.9577670226581906,-0.4591768277707595,-0.8292902570985923,-0.6053597949496188,0.2160856047726942,0.8838935912465344,0.9401209675999571,0.8331150594395116,0.968564516655857,0.021866545193036234,0.40020076760865286,-0.20856270593817658,0.645550030455666,-0.31654030572914194,0.9124001906670149,0.9123511613502127,0.967126821490231,0.9612671873429521
Size and Structural Class Complexity::NA,0.8736512722061737,0.9400385186300545,0.9051712562919372,0.8922953304212004,-0.6646235773963732,-0.9043100919161756,-0.7780678862626308,-0.012258612495888341,0.9370924331839614,0.9764848790888855,0.6309851798299282,0.9624428895322326,-0.30520306313565415,0.5646088588591366,-0.19785990736306672,0.5460177587978734,-0.4432851092308493,0.9497303709326037,0.9509402918768559,0.9580976318730591,0.9279955146369137
Size and Structural Class Complexity::NM,0.9615993566941522,0.9537072176718109,0.9478696471262772,0.9662990267069145,-0.5634593191519186,-0.9126519550809439,-0.6799539901181266,0.13312178440432862,0.8504848022349826,0.9360387777452166,0.723718620210031,0.9913629126353296,-0.19526297706858003,0.3374994374805387,-0.35192109922054327,0.7294197284820597,-0.27486692377919564,0.965799830716513,0.9649005292747437,0.9427324660992434,0.9922487050139037
Size and Structural Class Complexity::NAssoc,0.7332541784795851,0.7952949842689705,0.7187243137273971,0.7508107547175257,-0.7199119871239223,-0.9160826739058644,-0.8152324973843296,-0.24609277921292433,0.759733914952504,0.8569420113860117,0.41555278807606444,0.8326115786790308,-0.41845905100615177,0.39690977841419495,-0.018803364385817915,0.40957555636797727,-0.33934122610710943,0.8933451524175631,0.8866637963987463,0.8308775959562892,0.838675413471763
Size and Structural Class Complexity::NAgg,,,,,,,,,,,,,,,,,,,,,
Size and Structural Class Complexity::NDep,0.2619107637193347,0.46594737231532124,0.3903123288515114,0.26482864027718506,-0.5740634648383747,-0.3819822080484695,-0.5704549807099233,-0.2282706637026306,0.7298819406189497,0.5919545494148741,0.2526576181614847,0.4081116133961132,-0.29639412197426823,0.8051554338480325,0.0749467821696349,-0.058574482674108086,-0.674216258078589,0.4225456320518816,0.4363699230331418,0.46263586969445186,0.25932129863442416
Size and Structural Class Complexity::NGen,0.8248623328578247,0.7439819826937143,0.8328042612958928,0.7954787942727354,-0.09199817575741376,-0.4511679642328378,-0.2267933431288159,0.53588701165803,0.731992948622554,0.7168682950610589,0.9936598810764552,0.7545106717104124,0.5030563427536121,0.31053825298323395,-0.21562258305363005,0.5789994132553925,-0.28637682765812006,0.5959830578555892,0.602629912664003,0.7622383783975099,0.7204139055139694
Size and Structural Class Complexity::NGenH,0.03113552588288485,-0.16020638285659047,-0.04445837318716888,0.03474054788709949,0.8325754129097364,0.4546877754051123,0.7787580829818885,0.7752523090270329,-0.4594041125415004,-0.4162544918036835,0.19487094073848915,-0.1816471532924226,0.6638634938383674,-0.507230714753781,-0.34598309299238134,0.3436415245127853,0.5895738353435472,-0.3706581398888899,-0.3665752222757301,-0.17981925182021907,-0.05715929011122702
Size and Structural Class Complexity::MaxDIT,-0.025969910330779,-0.0045079192747624055,0.06404423565457071,-0.06885979635190619,0.12381006971050572,0.2612013255593214,0.14602614115011864,0.2655673582987475,0.2237264428993527,0.04885492193845192,0.3498578889999183,-0.05225740371243135,0.4351470386355674,0.28103891390008295,0.01065379243298399,-0.11547056026557176,-0.27930333077337155,-0.14083924518350371,-0.12796409435190081,-0.03693765692996886,-0.17786455835133355
Size and Structural Class Complexity::MaxHAgg,,,,,,,,,,,,,,,,,,,,,
Weighted Dependency Graph Complexity,-0.7642068311666763,-0.6049249806281323,-0.7356741444031585,-0.7232379404648573,0.042454851245109046,0.4071167346556317,0.12423702068642396,-0.5778373622183055,-0.504662567667344,-0.5388468321593556,-0.8797853325915858,-0.6610202457314549,-0.3876226590496755,0.0390036483437115,0.5663113502263797,-0.7775856286656653,0.028544003501116067,-0.5560498138487432,-0.5609164353821006,-0.5436662252095815,-0.6516113156851554
