,Total line count,Lines of code,statement count,Cyclomatic complexity,Average Cyclomatic complexity for methods,Average lines of code for methods,Average lines of code for methods with at least 3 lines,Cognitive Complexity,Coupling between objects,Dependencies in,Number of Children,Response for a class,Cohesion Among Methods of Classes,Lack of Cohesion in Methods 5,Method-Method through Attributes Cohesion,Normalized Hamming Distance,A Sensitive Metric of Class Cohesion,Tight Class Cohesion,Loose Class Cohesion,Third party classes used,Third party methods used
Individual Element Complexity,0.9978978095245085,0.9995386710674273,0.9990315250718825,0.9975981087414774,0.7534250549256867,0.9485709550160685,0.8328080841301582,0.9931377996787082,0.9904432831587605,0.9888356531519089,0.9889975273894357,0.9871082482452194,-0.5051020232977889,-0.8642233773257346,-0.8045011107700762,0.9121364673188909,0.9087203527107482,0.9293725432715256,0.8944150391350965,0.9899740527981383,0.9958178280905983
Size and Structural Class Complexity::NC,0.9902716595676565,0.990840003919682,0.9848725466714947,0.9915333139442963,0.7865740451603417,0.9481742249217486,0.8564720261311626,0.9906578739213154,0.9798924111514092,0.98143046117325,0.9843438211642466,0.9695458148999084,-0.44565554186789674,-0.8454497216161287,-0.7697967638651773,0.8674214764457449,0.8922164379995575,0.8987674068238743,0.8382040457232479,0.9887433715366272,0.9887410846189748
Size and Structural Class Complexity::NA,0.9873303712268185,0.9899178890957455,0.9939912792031693,0.9836121449633031,0.6974481492731187,0.9332776296273232,0.7889762962178447,0.9752264848569941,0.9852542575218194,0.9789419237783683,0.9794576167134359,0.9857046097707929,-0.5413520982265237,-0.8871250405802394,-0.8085446211646377,0.9377069795986024,0.913370267813988,0.949939656781251,0.9362921495313559,0.976071751799879,0.9811518099088147
Size and Structural Class Complexity::NM,0.9969546783682423,0.9975253740550679,0.9945363339438598,0.9985565943602047,0.7853287813825285,0.9550086025622541,0.8624209276169013,0.9978017774416607,0.9844434449214882,0.9852245496250241,0.9839775081750349,0.9789268098936367,-0.4896823998563877,-0.852374684397609,-0.8019413958311842,0.8951694845560605,0.8930736750956286,0.9082507621989587,0.8618282542430991,0.9878666981165249,0.9968066283190553
Size and Structural Class Complexity::NAssoc,0.9196296599300732,0.931938515831082,0.9402386162003081,0.9266938313754349,0.6640290201406234,0.8803924167829399,0.6981971965021425,0.9074242516544296,0.9247078736992362,0.9224059575115023,0.9218740244601404,0.9360824753304663,-0.5307352714865631,-0.767020665737296,-0.7559008172194265,0.8902145478292791,0.8497961330374997,0.8785150056082758,0.899862484302213,0.9247661399134018,0.9180157214399968
Size and Structural Class Complexity::NAgg,,,,,,,,,,,,,,,,,,,,,
Size and Structural Class Complexity::NDep,0.9948155401912192,0.9941838868785849,0.9907138352941158,0.9926642070806873,0.7519587788979276,0.9315800064499601,0.8226266708900317,0.9904201360523809,0.9927527104401479,0.9961336440193915,0.993363505149407,0.9886974331833469,-0.4006288257798471,-0.8386716178567337,-0.7378287114308909,0.8579015138881184,0.8799336234865918,0.9054837660572208,0.8601563619549735,0.9809655941837797,0.9951271582450546
Size and Structural Class Complexity::NGen,0.9894101709730488,0.9889456951107833,0.9868562869807085,0.9820661436475927,0.6910081151410464,0.9066477795060549,0.7663429786230067,0.974747352115732,0.9968566230214696,0.9964349114623487,1.0,0.9916426612183254,-0.39002551750581005,-0.8515384628964616,-0.7207423926701488,0.8615967583096765,0.9128061511424832,0.9364849449110064,0.8936867143246116,0.982334848272122,0.9860967901084231
Size and Structural Class Complexity::NGenH,0.968136507836704,0.9672018718863327,0.9640705816940847,0.9573623815700789,0.6437508022834818,0.8733055639540493,0.7267845027833434,0.9469216658751546,0.9760592183461566,0.9698925510306519,0.9856153266836085,0.9638375274593601,-0.4264015599364674,-0.8506068360788093,-0.7434894501676547,0.864349868480423,0.9639892919446207,0.9581651614641634,0.8992445281563082,0.979085405847285,0.9621227051603314
Size and Structural Class Complexity::MaxDIT,0.8131259687968695,0.8078457974083367,0.7884151089617905,0.8256597583855364,0.8279955111928032,0.8023991144267769,0.8434302745756846,0.845072999365488,0.7887947486894761,0.8132674539556819,0.7978892382293776,0.7757554794776981,-0.1298501982994207,-0.5747247074856471,-0.5151284049108239,0.5535687379886853,0.58874093123274,0.5850404940570045,0.48121899468978374,0.7925906214471745,0.828416597556364
Size and Structural Class Complexity::MaxHAgg,,,,,,,,,,,,,,,,,,,,,
Weighted Dependency Graph Complexity,0.9204225981579041,0.9189105754472567,0.9078109073592694,0.9344144663855583,0.8836354601483338,0.9228844082558031,0.9289230848997645,0.9487245785352001,0.8887699654767882,0.9039120065373475,0.8881928625379792,0.8821636969979746,-0.3701752809283818,-0.716438826022229,-0.7114946080407212,0.7508137935847543,0.7163534853821999,0.726197401967324,0.6555464064865397,0.8980268617174743,0.9312932879175209
