,Total line count,Lines of code,statement count,Cyclomatic complexity,Average Cyclomatic complexity for methods,Average lines of code for methods,Average lines of code for methods with at least 3 lines,Cognitive Complexity,Coupling between objects,Dependencies in,Number of Children,Response for a class,Cohesion Among Methods of Classes,Lack of Cohesion in Methods 5,Method-Method through Attributes Cohesion,Normalized Hamming Distance,A Sensitive Metric of Class Cohesion,Tight Class Cohesion,Loose Class Cohesion,Third party classes used,Third party methods used
1.3.0,6877,4298,2000,1037,2.59,5.8,11.48,902,251,201,15,677,0.2551157894736842,0.6276079999999999,0.04666875,0.5945421052631579,0.2567866666666666,0.069307999981132,0.1046683506981132,189,500
1.3.1,7142,4347,2024,1063,2.56,5.69,11.58,928,240,191,13,695,0.2205764705882352,0.6082086956521738,0.0326428571428571,0.6414588235294116,0.2808133333333333,0.0843775450612245,0.1225075404081632,182,520
1.3.3,7547,4430,2069,1092,2.58,5.67,11.79,983,242,192,13,705,0.2201529411764705,0.6063956521739131,0.0321571428571428,0.641635294117647,0.2811333333333333,0.083924722755102,0.1227525153061224,182,523
1.3.4,9956,4996,2355,1235,2.62,5.71,11.84,1124,276,226,23,803,0.2745583333333334,0.63704,0.0340133333333333,0.6492368421052631,0.2482176470588236,0.1036377016727272,0.1450337347272727,200,571
1.3.5,10119,4929,2316,1257,2.66,5.62,12.09,1115,248,207,20,800,0.2656,0.6093869565217391,0.0327933333333333,0.6661529411764707,0.2592875,0.1007246903636363,0.1434193416363636,201,604
1.3.6,9585,4706,2191,1210,2.65,5.53,12.24,1075,247,206,20,773,0.2674142857142857,0.6079826086956521,0.0327933333333333,0.6643647058823531,0.25994375,0.0991051332,0.1413530245454545,195,587
1.3.7,10037,4898,2307,1284,2.73,5.6,12.42,1148,255,211,20,797,0.260490909090909,0.5939083333333334,0.0317733333333333,0.6686833333333334,0.3103176470588236,0.1064199081754386,0.1451450338596491,199,608
1.3.8,10551,4958,2333,1294,2.71,5.58,12.47,1151,255,211,20,806,0.2603863636363636,0.5940416666666667,0.0316533333333333,0.6687944444444445,0.3090235294117647,0.1059199090526315,0.1442306187719298,199,614
1.3.9,10651,5029,2373,1309,2.72,5.61,12.57,1174,256,212,20,814,0.2603954545454545,0.5953125,0.0314533333333333,0.6685722222222222,0.3081,0.1064794720350877,0.1439259521052631,199,618
1.4.0,10708,4990,2323,1283,2.46,4.98,10.33,952,261,230,20,847,0.24194,0.573790909090909,0.0349133333333333,0.6623277777777777,0.28091875,0.1420558451551724,0.1802277516896551,198,633
1.4.1,11153,5153,2379,1322,2.43,4.88,10.19,966,270,238,20,872,0.237485,0.609225,0.0336933333333333,0.6671,0.2653588235294117,0.1647490510666666,0.2099707656333333,207,651
1.5.0,11510,5372,2497,1386,2.49,4.98,10.21,1019,284,251,21,919,0.239247619047619,0.6418153846153847,0.03491875,0.6613736842105264,0.2510555555555555,0.1628469227096774,0.2071433696451612,218,680
1.5.1,11512,5372,2497,1386,2.49,4.97,10.2,1019,284,251,21,919,0.239247619047619,0.6418153846153847,0.03491875,0.6613736842105264,0.2510555555555556,0.1628469227096774,0.2071433696451612,218,680
1.5.2,12157,5761,2512,1402,2.44,4.83,10.23,1021,286,253,21,922,0.2310095238095238,0.6398384615384616,0.0318875,0.6744894736842106,0.2523944444444444,0.1622739456935484,0.2077150675483871,220,681
1.5.3,12236,5812,2543,1416,2.45,4.85,10.31,1035,284,251,21,935,0.230195238095238,0.6400692307692307,0.0317499999999999,0.6760578947368422,0.2519111111111111,0.161600915532258,0.2074966577096774,218,696
tools,SonarQube,SonarQube; CK; JArchitect,SonarQube,CK; SonerQube; JArchitect,JArchitect,JArchitect,JArchitect,SonarQube,CK,CK,CK,CK,JPeek,JPeek; CK,JPeek,JPeek,JPeek,CK,CK,JArchitect,JArchitect
comment,"Total lines in the files, including empty lines and comments","Used sonarqube value as it is most correct, ck can have a margin of error due to the intermediate representation used, jk computes the sum of all code lines in methods",The total count of statements in the project,Used CK value as it takes more decision points into account,"This describes the average cyclomatic complexity for methods, rather than the whole project",Shows the average lines of code for all methods,This is included as it excludes methods like simple getters and setters,Only SonarQube value is present,Describes the total number of dependencies classes have. This is the same as ck_fanout,Describes the total number of dependencies on classes of the project. This is the same as cboModified-fanout,The sum of the immediate children every class has through inheritance,The sum of unique method invocations for each class,The mean of the CAMC metric,"The mean of the LCOM5 metric, JPeek was used here because it uses a newer version of the algorithm then CK does, CK themself says that the version they use it unreliable",The mean of the MMAC metric,The mean of the NHD metric,The mean of the SCOM metric,"The mean of the tight class cohesion value, describing cohesion of the project through method invocations","The mean of the loose class cohesion value, similair to tcc, but restricting which methods to include more.","Shows how many third party classes are used, such as the java API and other libraries","Shows how many third party methods are used, such as the java API and other libraries"
